#
# T1: Room temperature
# T2: Pot top (water phase)
# T3: Pot bottom (rice phase)
# 
# time	T1	T2	T3
#-----------------------------------------------
1319035324.72	22.96	22.70	22.79
1319035325.81	22.96	22.70	22.79
1319035326.92	22.96	22.70	22.79
1319035328.02	22.96	22.70	22.79
1319035329.11	22.96	22.70	22.79
1319035330.20	22.96	22.70	22.79
1319035331.30	22.96	22.70	22.79
1319035332.39	22.96	22.70	22.70
1319035333.48	22.96	22.70	22.70
1319035334.59	23.05	22.70	22.70
1319035335.69	22.96	22.70	22.61
1319035336.78	22.96	22.70	22.61
1319035337.87	22.96	22.79	22.61
1319035338.97	22.96	22.79	22.61
1319035340.06	22.96	22.87	22.70
1319035341.16	22.96	22.87	22.70
1319035342.27	22.96	22.96	22.79
1319035343.36	22.96	22.96	22.79
1319035344.45	22.96	23.05	22.79
1319035345.55	22.96	23.05	22.87
1319035346.64	23.05	23.05	22.87
1319035347.73	22.96	23.05	22.96
1319035348.83	22.96	23.05	22.96
1319035349.94	22.96	23.05	22.96
1319035351.03	22.96	22.87	22.96
1319035352.12	23.05	22.79	22.96
1319035353.22	22.96	22.70	22.96
1319035354.31	22.96	22.61	22.96
1319035355.41	22.96	22.61	23.05
1319035356.50	22.96	22.52	23.05
1319035357.61	22.96	22.52	23.05
1319035358.70	22.96	22.52	23.05
1319035359.80	22.96	22.52	23.05
1319035360.89	22.96	22.43	23.05
1319035361.98	22.96	22.43	23.05
1319035363.08	22.96	22.35	23.05
1319035364.17	22.96	22.35	23.05
1319035365.28	22.96	22.35	23.05
1319035366.37	22.96	22.35	23.05
1319035367.47	23.40	22.35	23.05
1319035368.56	24.02	22.35	23.05
1319035369.66	24.73	22.35	23.05
1319035370.75	25.36	22.35	23.14
1319035371.84	25.89	22.35	23.05
1319035372.95	26.34	22.35	23.05
1319035374.05	26.61	22.35	23.05
1319035375.14	26.97	22.26	23.05
1319035376.23	27.24	22.26	23.05
1319035377.33	27.33	22.35	23.14
1319035378.42	27.42	22.35	23.05
1319035379.52	27.51	22.26	23.05
1319035380.62	27.51	22.26	23.14
1319035381.72	27.42	22.26	23.14
1319035382.81	27.42	22.26	23.14
1319035383.91	27.42	22.26	23.14
1319035385.00	27.33	22.26	23.14
1319035386.09	27.33	22.26	23.14
1319035387.19	27.24	22.26	23.14
1319035388.30	27.33	22.26	23.14
1319035389.39	27.24	22.26	23.14
1319035390.48	27.24	22.26	23.14
1319035391.58	27.15	22.70	23.14
1319035392.67	27.15	23.40	23.14
1319035393.77	27.15	24.11	23.14
1319035394.86	27.06	24.73	23.14
1319035395.97	27.06	25.36	23.14
1319035397.06	26.97	25.80	23.14
1319035398.16	26.97	26.25	23.14
1319035399.25	26.97	26.61	23.14
1319035400.34	26.97	26.88	23.14
1319035401.44	26.88	26.88	23.14
1319035402.53	26.79	26.25	23.14
1319035403.64	26.79	25.27	23.23
1319035404.73	26.79	24.38	23.14
1319035405.83	26.70	23.85	23.14
1319035406.92	26.70	23.58	23.23
1319035408.02	26.61	23.32	23.23
1319035409.11	26.61	23.05	23.23
1319035410.20	26.61	22.96	23.14
1319035411.31	26.61	22.87	23.23
1319035412.41	26.61	22.87	23.23
1319035413.50	26.61	22.79	23.23
1319035414.59	26.61	22.70	23.23
1319035415.69	26.61	22.70	23.23
1319035416.78	26.61	22.70	23.23
1319035417.87	26.52	22.70	23.23
1319035418.98	26.52	22.70	23.23
1319035420.08	26.52	22.61	23.23
1319035421.17	26.52	22.61	23.23
1319035422.27	26.52	22.61	23.23
1319035423.36	26.52	22.61	23.23
1319035424.45	26.43	22.61	23.23
1319035425.55	26.43	22.61	23.23
1319035426.66	26.34	22.61	23.23
1319035427.75	26.34	22.52	23.23
1319035428.84	26.34	22.52	23.23
1319035429.94	26.34	22.61	23.23
1319035431.03	26.25	22.52	23.23
1319035432.12	26.25	22.52	23.23
1319035433.22	26.25	22.52	23.23
1319035434.33	26.25	22.52	23.23
1319035435.42	26.25	22.52	23.23
1319035436.52	26.25	22.52	23.23
1319035437.61	26.25	22.61	23.23
1319035438.70	26.16	22.52	23.23
1319035439.80	26.16	22.61	23.23
1319035440.89	26.07	22.52	23.23
1319035442.00	26.07	22.52	23.23
1319035443.09	26.07	22.52	23.32
1319035444.19	26.07	22.52	23.32
1319035445.28	25.98	22.52	23.32
1319035446.37	25.89	22.52	23.23
1319035447.47	25.89	22.52	23.32
1319035448.56	25.89	22.61	23.32
1319035449.67	25.89	22.52	23.23
1319035450.77	25.80	22.61	23.32
1319035451.86	25.89	22.52	23.32
1319035452.95	25.80	22.52	23.32
1319035454.05	25.80	22.52	23.32
1319035455.14	25.80	22.52	23.32
1319035456.23	25.80	22.52	23.32
1319035457.34	25.80	22.52	23.32
1319035458.44	25.71	22.52	23.32
1319035459.53	25.71	22.52	23.32
1319035460.62	25.71	22.52	23.32
1319035461.72	25.71	22.52	23.32
1319035462.81	25.71	22.52	23.32
1319035463.91	25.62	22.52	23.32
1319035465.02	25.62	22.52	23.32
1319035466.11	25.62	22.52	23.32
1319035467.20	25.54	22.52	23.32
1319035468.30	25.54	22.52	23.40
1319035469.39	25.54	22.61	23.32
1319035470.48	25.54	22.61	23.32
1319035471.58	25.54	22.52	23.40
1319035472.69	25.54	22.52	23.40
1319035473.78	25.54	22.52	23.32
1319035474.87	25.54	22.61	23.32
1319035475.97	25.54	22.52	23.40
1319035477.06	25.54	22.52	23.32
1319035478.16	25.45	22.52	23.40
1319035479.25	25.45	22.52	23.40
1319035480.36	25.36	22.52	23.40
1319035481.45	25.36	22.52	23.40
1319035482.55	25.36	22.52	23.40
1319035483.64	25.36	22.52	23.40
1319035484.73	25.36	22.61	23.40
1319035485.83	25.27	22.52	23.40
1319035486.92	25.27	22.52	23.40
1319035488.03	25.27	22.52	23.40
1319035489.12	25.18	22.52	23.40
1319035490.22	25.18	22.52	23.40
1319035491.31	25.18	22.61	23.40
1319035492.41	25.09	22.61	23.40
1319035493.50	25.09	22.61	23.40
1319035494.59	25.09	22.52	23.40
1319035495.70	25.09	22.52	23.40
1319035496.80	25.09	22.61	23.49
1319035497.89	25.00	22.52	23.40
1319035498.98	25.00	22.52	23.40
1319035500.08	25.00	22.61	23.40
1319035501.17	25.00	22.61	23.49
1319035502.27	25.00	22.52	23.49
1319035503.37	25.00	22.61	23.40
1319035504.47	24.91	22.61	23.49
1319035505.56	24.91	22.61	23.49
1319035506.66	25.00	22.61	23.49
1319035507.75	24.91	22.61	23.49
1319035508.84	24.91	22.61	23.49
1319035509.94	24.91	22.61	23.49
1319035511.05	24.91	22.61	23.58
1319035512.14	24.82	22.61	23.58
1319035513.23	24.82	22.61	23.58
1319035514.33	24.82	22.61	23.58
1319035515.42	24.82	22.61	23.58
1319035516.52	24.82	22.61	23.58
1319035517.62	24.82	22.61	23.67
1319035518.72	24.82	22.61	23.67
1319035519.81	24.82	22.61	23.67
1319035520.91	24.82	22.61	23.67
1319035522.00	24.73	22.61	23.67
1319035523.09	24.82	22.61	23.76
1319035524.19	24.73	22.61	23.76
1319035525.30	24.73	22.61	23.76
1319035526.39	24.73	22.61	23.85
1319035527.48	24.73	22.61	23.93
1319035528.58	24.73	22.61	24.02
1319035529.67	24.73	22.61	24.02
1319035530.77	24.73	22.70	24.11
1319035531.86	24.64	22.61	24.11
1319035532.95	24.64	22.70	24.11
1319035534.06	24.64	22.70	24.20
1319035535.16	24.64	22.61	24.29
1319035536.25	24.64	22.61	24.29
1319035537.34	24.64	22.70	24.47
1319035538.44	24.64	22.61	24.47
1319035539.53	24.56	22.70	24.56
1319035540.64	24.56	22.70	24.56
1319035541.73	24.56	22.70	24.64
1319035542.83	24.56	22.70	24.73
1319035543.92	24.56	22.70	24.82
1319035545.02	24.56	22.70	24.82
1319035546.11	24.56	22.70	24.91
1319035547.20	24.47	22.70	25.00
1319035548.31	24.47	22.70	25.09
1319035549.41	24.56	22.70	25.27
1319035550.50	24.47	22.70	25.36
1319035551.59	24.56	22.70	25.45
1319035552.69	24.47	22.70	25.54
1319035553.78	24.47	22.70	25.54
1319035554.87	24.47	22.70	25.62
1319035555.98	24.47	22.70	25.71
1319035557.08	24.47	22.70	25.80
1319035558.17	24.47	22.70	25.89
1319035559.27	24.47	22.70	25.98
1319035560.36	24.47	22.70	26.07
1319035561.45	24.38	22.70	26.16
1319035562.55	24.47	22.70	26.25
1319035563.66	24.47	22.70	26.34
1319035564.75	24.38	22.70	26.34
1319035565.84	24.47	22.70	26.52
1319035566.94	24.47	22.70	26.61
1319035568.03	24.38	22.70	26.70
1319035569.12	24.38	22.70	26.79
1319035570.22	24.47	22.70	26.97
1319035571.33	24.47	22.70	26.97
1319035572.42	24.38	22.70	27.06
1319035573.52	24.38	22.70	27.24
1319035574.61	24.38	22.70	27.24
1319035575.70	24.38	22.70	27.42
1319035576.80	24.38	22.70	27.51
1319035577.89	24.47	22.70	27.70
1319035579.00	24.38	22.70	27.70
1319035580.09	24.38	22.70	27.88
1319035581.19	24.38	22.70	27.97
1319035582.28	24.38	22.70	27.97
1319035583.37	24.38	22.70	28.15
1319035584.47	24.29	22.70	28.24
1319035585.56	24.29	22.70	28.42
1319035586.67	24.38	22.70	28.52
1319035587.77	24.29	22.70	28.61
1319035588.86	24.29	22.70	28.70
1319035589.95	24.29	22.70	28.79
1319035591.05	24.29	22.70	28.97
1319035592.14	24.29	22.70	29.07
1319035593.23	24.29	22.70	29.16
1319035594.34	24.29	22.70	29.25
1319035595.44	24.29	22.79	29.34
1319035596.53	24.29	22.70	29.43
1319035597.62	24.29	22.70	29.53
1319035598.72	24.29	22.70	29.71
1319035599.81	24.29	22.70	29.80
1319035600.91	24.29	22.70	29.90
1319035602.02	24.29	22.70	29.90
1319035603.11	24.29	22.70	29.99
1319035604.20	24.20	22.79	30.08
1319035605.30	24.29	22.70	30.18
1319035606.39	24.20	22.70	30.27
1319035607.48	24.29	22.70	30.36
1319035608.58	24.20	22.70	30.45
1319035609.69	24.20	22.70	30.55
1319035610.78	24.20	22.79	30.64
1319035611.87	24.20	22.70	30.64
1319035612.97	24.20	22.70	30.73
1319035614.06	24.20	22.70	30.83
1319035615.16	24.20	22.70	30.92
1319035616.25	24.20	22.70	30.92
1319035617.36	24.20	22.70	31.02
1319035618.45	24.20	22.70	31.11
1319035619.55	24.20	22.79	31.20
1319035620.64	24.20	22.70	31.20
1319035621.73	24.20	22.70	31.30
1319035622.83	24.20	22.79	31.39
1319035623.92	24.20	22.79	31.39
1319035625.03	24.20	22.79	31.39
1319035626.12	24.20	22.79	31.58
1319035627.22	24.20	22.70	31.58
1319035628.31	24.11	22.70	31.68
1319035629.41	24.11	22.70	31.68
1319035630.50	24.11	22.70	31.77
1319035631.61	24.11	22.79	31.77
1319035632.70	24.11	22.79	31.86
1319035633.80	24.11	22.70	31.96
1319035634.89	24.11	22.70	32.05
1319035635.98	24.11	22.79	32.15
1319035637.08	24.11	22.70	32.15
1319035638.17	24.11	22.70	32.24
1319035639.27	24.11	22.79	32.34
1319035640.37	24.11	22.70	32.34
1319035641.47	24.20	22.70	32.43
1319035642.56	24.11	22.70	32.43
1319035643.66	24.11	22.79	32.43
1319035644.75	24.11	22.70	32.43
1319035645.84	24.11	22.79	32.53
1319035646.94	24.11	22.70	32.63
1319035648.05	24.11	22.79	32.72
1319035649.14	24.11	22.79	32.72
1319035650.23	24.11	22.79	32.82
1319035651.33	24.11	22.70	32.82
1319035652.42	24.11	22.70	32.91
1319035653.52	24.11	22.79	32.91
